date,観測所番号,都道府県名,地名,最高気温
2024-07-10,49151,山梨県,勝沼,23.5
2024-07-10,52406,岐阜県,金山,23.5
2024-07-10,52606,岐阜県,多治見,23.5
2024-07-10,60116,滋賀県,南小松,23.5
2024-07-10,66306,岡山県,和気,23.5
2024-07-10,65256,和歌山県,栗栖川,23.5
2024-07-10,54236,新潟県,松浜,23.5
2024-07-10,34096,宮城県,川渡,23.4
2024-07-10,54396,新潟県,三条,23.4
2024-07-10,49161,山梨県,大月,23.4
2024-07-10,35486,山形県,小国,23.4
2024-07-10,54086,新潟県,村上,23.4
2024-07-10,54181,新潟県,中条,23.4
2024-07-10,66186,岡山県,津山,23.4
2024-07-10,35541,山形県,高峰,23.4
2024-07-10,33781,岩手県,江刺,23.3
2024-07-10,48156,長野県,長野,23.3
2024-07-10,48066,長野県,飯山,23.3
2024-07-10,54166,新潟県,両津,23.3
2024-07-10,52571,岐阜県,関ケ原,23.3
2024-07-10,54341,新潟県,巻,23.3
2024-07-10,36476,福島県,郡山,23.3
2024-07-10,68401,島根県,瑞穂,23.3
2024-07-10,41172,栃木県,日光東町,23.3
2024-07-10,54232,新潟県,新潟,23.3
2024-07-10,54296,新潟県,新津,23.3
2024-07-10,52331,岐阜県,八幡,23.3
2024-07-10,43156,埼玉県,秩父,23.3
2024-07-10,65306,和歌山県,西川,23.3
2024-07-10,62016,大阪府,能勢,23.2
2024-07-10,35511,山形県,高畠,23.2
2024-07-10,36176,福島県,喜多方,23.2
2024-07-10,67151,広島県,大朝,23.1
2024-07-10,69061,鳥取県,岩井,23.1
2024-07-10,54191,新潟県,下関,23.1
2024-07-10,42091,群馬県,みなかみ,23.1
2024-07-10,52557,岐阜県,中津川,23.1
2024-07-10,83431,大分県,宇目,23.1
2024-07-10,54387,新潟県,寺泊,23.1
2024-07-10,66127,岡山県,奈義,23.0
2024-07-10,35246,山形県,鼠ケ関,23.0
2024-07-10,66046,岡山県,上長田,23.0
2024-07-10,57206,福井県,今庄,23.0
2024-07-10,44046,東京都,小河内,23.0
2024-07-10,67116,広島県,庄原,23.0
2024-07-10,54721,新潟県,能生,23.0
2024-07-10,61206,京都府,美山,23.0
2024-07-10,60196,滋賀県,東近江,23.0
2024-07-10,35552,山形県,米沢,23.0
2024-07-10,56286,石川県,白山河内,23.0
2024-07-10,64206,奈良県,上北山,23.0
2024-07-10,54012,新潟県,粟島,23.0
2024-07-10,36581,福島県,玉川,22.9
2024-07-10,55166,富山県,上市,22.9
2024-07-10,54616,新潟県,小出,22.9
2024-07-10,54566,新潟県,守門,22.9
2024-07-10,49236,山梨県,切石,22.9
2024-07-10,73276,愛媛県,久万,22.9
2024-07-10,36426,福島県,只見,22.9
2024-07-10,48256,長野県,上田,22.9
2024-07-10,54661,新潟県,安塚,22.8
2024-07-10,64041,奈良県,針,22.8
2024-07-10,57082,福井県,勝山,22.8
2024-07-10,54271,新潟県,羽茂,22.8
2024-07-10,60061,滋賀県,長浜,22.8
2024-07-10,84519,長崎県,雲仙岳,22.8
2024-07-10,33716,岩手県,北上,22.8
2024-07-10,87041,宮崎県,高千穂,22.8
2024-07-10,68306,島根県,赤名,22.8
2024-07-10,36361,福島県,若松,22.7
2024-07-10,35141,山形県,鶴岡,22.7
2024-07-10,42186,群馬県,中之条,22.7
2024-07-10,48321,長野県,東御,22.7
2024-07-10,69246,鳥取県,智頭,22.7
2024-07-10,60236,滋賀県,土山,22.7
2024-07-10,35162,山形県,新庄,22.7
2024-07-10,66136,岡山県,今岡,22.7
2024-07-10,35332,山形県,村山,22.6
2024-07-10,62081,大阪府,生駒山,22.6
2024-07-10,87206,宮崎県,神門,22.6
2024-07-10,49086,山梨県,韮崎,22.6
2024-07-10,33877,岩手県,大船渡,22.6
2024-07-10,54157,新潟県,相川,22.6
2024-07-10,60051,滋賀県,今津,22.6
2024-07-10,31506,青森県,三沢,22.6
2024-07-10,65162,和歌山県,龍神,22.6
2024-07-10,54676,新潟県,十日町,22.5
2024-07-10,35176,山形県,向町,22.5
2024-07-10,63251,兵庫県,一宮,22.5
2024-07-10,48606,長野県,木曽福島,22.5
2024-07-10,74296,高知県,梼原,22.5
2024-07-10,36391,福島県,船引,22.5
2024-07-10,35052,山形県,酒田,22.5
2024-07-10,42326,群馬県,西野牧,22.5
2024-07-10,35231,山形県,尾花沢,22.5
2024-07-10,66171,岡山県,久世,22.5
2024-07-10,35086,山形県,浜中,22.4
2024-07-10,86161,熊本県,高森,22.4
2024-07-10,48731,長野県,飯島,22.4
2024-07-10,33911,岩手県,一関,22.4
2024-07-10,63201,兵庫県,生野,22.4
2024-07-10,36251,福島県,西会津,22.4
2024-07-10,54816,新潟県,関山,22.4
2024-07-10,34186,宮城県,志津川,22.4
2024-07-10,52381,岐阜県,樽見,22.4
2024-07-10,48331,長野県,軽井沢,22.3
2024-07-10,35146,山形県,狩川,22.3
2024-07-10,52556,岐阜県,恵那,22.3
2024-07-10,33431,岩手県,盛岡,22.3
2024-07-10,56093,石川県,三井,22.3
2024-07-10,35334,山形県,東根,22.3
2024-07-10,60102,滋賀県,米原,22.3
2024-07-10,36562,福島県,湯本,22.2
2024-07-10,36591,福島県,小野新町,22.2
2024-07-10,54841,新潟県,湯沢,22.2
2024-07-10,48841,長野県,南信濃,22.2
2024-07-10,60226,滋賀県,信楽,22.2
2024-07-10,66221,岡山県,新見,22.2
2024-07-10,33776,岩手県,若柳,22.1
2024-07-10,86111,熊本県,阿蘇乙姫,22.1
2024-07-10,48196,長野県,信州新町,22.1
2024-07-10,48571,長野県,野辺山,22.1
2024-07-10,31312,青森県,青森,22.1
2024-07-10,86157,熊本県,南阿蘇,22.1
