観測所番号,都道府県,地点,国際地点番号,観測時刻(年),観測時刻(月),観測時刻(日),観測時刻(時),観測時刻(分),10日の最高気温(℃),10日の最高気温の品質情報,10日の最高気温起時（時）,10日の最高気温起時（分）,10日の最高気温起時の品質情報,平年差（℃）,前日差（℃）,該当旬（月）,該当旬（旬）,極値更新,10年未満での極値更新,今年最高,今年の最高気温（℃)（9日まで）,今年の最高気温（9日まで）の品質情報,今年の最高気温（9日まで）を観測した起日（年）,今年の最高気温（9日まで）を観測した起日（月）,今年の最高気温（9日まで）を観測した起日（日）,9日までの観測史上1位の値（℃）,9日までの観測史上1位の値の品質情報,9日までの観測史上1位の値を観測した起日（年）,9日までの観測史上1位の値を観測した起日（月）,9日までの観測史上1位の値を観測した起日（日）,9日までの6月の1位の値,9日までの6月の1位の値の品質情報,9日までの6月の1位の値の起日（年）,9日までの6月の1位の値の起日（月）,9日までの6月の1位の値の起日（日）,統計開始年,date
15231,北海道空知地方,空知吉野（ソラチヨシノ）,,2024,6,10,,,22.8,8,15,7,8,1.4,-0.9,6.0,3.0,,,0,26.5,4,2024,6,8,36.8,8,2021,8,7,34.3,8,2014,6,4,1978,2024-06-10
15241,北海道空知地方,滝川（タキカワ）,,2024,6,10,,,24.4,8,14,33,8,3.1,-1.0,7.0,1.0,,,0,27.4,4,2024,6,8,36.0,8,2021,7,28,34.1,8,2014,6,4,1976,2024-06-10
15251,北海道空知地方,芦別（アシベツ）,,2024,6,10,,,24.8,8,14,13,8,2.5,-1.3,6.0,3.0,,,0,28.6,4,2024,6,8,37.2,8,2021,7,31,35.7,8,2014,6,4,1978,2024-06-10
15311,北海道空知地方,月形（ツキガタ）,,2024,6,10,,,22.6,8,15,3,8,2.2,-1.0,6.0,3.0,,,0,26.7,4,2024,6,8,36.3,8,2021,7,31,33.6,8,2014,6,3,1977,2024-06-10
15321,北海道空知地方,美唄（ビバイ）,,2024,6,10,,,23.9,8,15,20,8,2.6,-0.4,6.0,3.0,,,0,27.4,4,2024,6,8,35.6,8,2021,8,6,33.2,8,2014,6,3,1977,2024-06-10
15356,北海道空知地方,岩見沢（イワミザワ）,47413.0,2024,6,10,,,23.0,8,15,21,8,1.9,-0.6,6.0,3.0,,,0,26.4,4,2024,6,8,35.7,8,2023,8,25,33.6,8,2014,6,4,1946,2024-06-10
15431,北海道空知地方,長沼（ナガヌマ）,,2024,6,10,,,21.9,8,15,2,8,2.0,-0.7,6.0,3.0,,,0,25.4,4,2024,4,15,35.2,8,2023,8,24,31.4,8,2014,6,3,1977,2024-06-10
15442,北海道空知地方,夕張（ユウバリ）,,2024,6,10,,,19.8,8,14,32,8,-0.3,-1.9,6.0,1.0,,,0,26.2,4,2024,6,8,35.0,8,2021,7,28,31.6,8,2014,6,3,1976,2024-06-10
16026,北海道後志地方,美国（ビクニ）,,2024,6,10,,,25.4,8,12,4,8,5.6,-1.6,7.0,3.0,,,0,27.0,4,2024,6,9,35.2,8,2023,8,31,31.3,8,2014,6,4,1977,2024-06-10
16061,北海道後志地方,神恵内（カモエナイ）,,2024,6,10,,,19.8,8,11,15,8,0.7,-4.1,6.0,2.0,,,0,23.9,4,2024,6,9,33.5,8,2021,7,28,29.1,8,2021,6,11,1977,2024-06-10
