,temp,year,date
1021,14.26,1981,10/18
1022,14.16,1981,10/19
1023,14.12,1981,10/20
1024,14.12,1981,10/21
1025,14.03,1981,10/22
1026,13.97,1981,10/23
1027,13.96,1981,10/24
1028,13.99,1981,10/25
1029,14.07,1981,10/26
1030,14.02,1981,10/27
1031,14.01,1981,10/28
1032,14.03,1981,10/29
1033,14.01,1981,10/30
1034,13.96,1981,10/31
1035,13.89,1981,11/1
1036,13.79,1981,11/2
1037,13.72,1981,11/3
1038,13.59,1981,11/4
1039,13.52,1981,11/5
1040,13.45,1981,11/6
1041,13.36,1981,11/7
1042,13.3,1981,11/8
1043,13.23,1981,11/9
1044,13.28,1981,11/10
1045,13.38,1981,11/11
1046,13.48,1981,11/12
1047,13.47,1981,11/13
1048,13.39,1981,11/14
1049,13.32,1981,11/15
1050,13.22,1981,11/16
1051,13.15,1981,11/17
1052,13.09,1981,11/18
1053,13.0,1981,11/19
1054,12.94,1981,11/20
1055,12.89,1981,11/21
1056,12.87,1981,11/22
1057,12.82,1981,11/23
1058,12.78,1981,11/24
1059,12.77,1981,11/25
1060,12.75,1981,11/26
1061,12.78,1981,11/27
1062,12.76,1981,11/28
1063,12.68,1981,11/29
1064,12.59,1981,11/30
1065,12.57,1981,12/1
1066,12.62,1981,12/2
1067,12.7,1981,12/3
1068,12.79,1981,12/4
